Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
14-025,"Apricots, raw, flesh and skin",18 samples,FA,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",87.2,0.9,0.1,7.2,31,134,0.0,7.2,1.6,NULL,0.9,4.6,0.0,0.0,0.0,1.7,NULL,0.01,0.01,0.01,0.00,0.0,2,270,15,11,20,0.50,0.06,0.1,3,0.10,1,NULL,0,405,0.0,NULL,NULL,0.04,0.05,0.5,0.1,0.08,0.0,5,0.24,NULL,6
14-026,"Apricots, raw, flesh and skin, weighed with stones",Calculated from 14-025,FA,"LGC, Fruit and vegetables, 1989-1990",80.2,0.8,0.1,6.6,29,123,0.0,6.6,1.5,NULL,0.8,4.2,0.0,0.0,0.0,1.6,NULL,0.01,0.01,0.01,0.00,0.0,2,250,14,10,18,0.50,0.05,0.1,3,0.10,1,NULL,0,375,0.0,NULL,NULL,0.04,0.05,0.5,0.1,0.07,0.0,5,0.22,NULL,5
14-392,"Apricots, ready-to-eat, semi-dried","10 samples, 8 products, including soft, ready-to-eat and partially rehydrated",FA,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",39.6,2.2,0.5,39.4,161,686,0,39.4,25.1,0,10.4,3.9,0,0,0,6.3,5.3,0.13,0.02,0.25,0.01,0,9,1039,71,34,67,1.35,0.3,0.25,10,0.24,0.01,18,0,550,0,3.68,NULL,0.02,0.01,2.5,0.1,0.09,0,13,0.26,0.5,1
14-027,"Apricots, stewed with sugar","1000g fruit, 100g water, 120g sugar; stones removed",FA,"Fruit and Nuts Supplement, 1992",76.9,0.7,0.1,18.3,72,308,0.0,18.3,2.2,NULL,2.1,14.0,0.0,0.0,NULL,1.6,NULL,0.01,0.01,0.01,NULL,0.0,1,190,12,7,7,0.80,0.05,0.1,2,0.01,1,NULL,0,105,0.0,NULL,NULL,0.02,0.03,0.5,0.1,0.05,0.0,0.01,0.15,NULL,4
14-028,"Apricots, stewed with sugar, weighed with stones",Calculated from 14-027,FA,"Fruit and Nuts Supplement, 1992",71.7,0.6,0.1,17.1,67,288,0.0,17.1,2.1,NULL,2.0,13.1,0.0,0.0,NULL,1.5,NULL,0.01,0.01,0.01,NULL,0.0,1,180,11,7,7,0.70,0.05,0.1,2,0.01,1,NULL,0,98,0.0,NULL,NULL,0.02,0.03,0.5,0.1,0.05,0.0,0.01,0.14,NULL,4
14-029,"Apricots, stewed without sugar","500g fruit, 75g water; stones removed",FA,"Fruit and Nuts Supplement, 1992",88.3,0.7,0.1,6.2,27,115,0.0,6.2,1.6,NULL,1.0,3.5,0.0,0.0,NULL,1.5,NULL,0.01,0.01,0.01,NULL,0.0,1,200,13,7,7,0.80,0.05,0.1,2,0.10,1,NULL,0,110,0.0,NULL,NULL,0.03,0.03,0.3,0.1,0.05,0.0,1,0.15,NULL,4
14-030,"Apricots, stewed without sugar, weighed with stones",Calculated from 14-029,FA,"Fruit and Nuts Supplement, 1992",82.1,0.7,0.1,5.8,25,108,0.0,5.8,1.5,NULL,0.9,3.3,0.0,0.0,NULL,1.4,NULL,0.01,0.01,0.01,NULL,0.0,1,190,12,7,7,0.70,0.05,0.1,2,0.10,1,NULL,0,100,0.0,NULL,NULL,0.03,0.03,0.3,0.1,0.05,0.0,1,0.14,NULL,4
13-152,"Arrowhead, boiled in unsalted water",Calculated from raw,DG,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",75.5,4.2,0.3,17.8,91,385,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,18,610,11,43,140,2.20,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.0,0.01,NULL,0.13,0.03,1.2,NULL,NULL,0.0,NULL,NULL,NULL,1
13-151,"Arrowhead, raw",Literature sources,DG,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agricultural Handbook No. 8-11, and Wu Leung et al. (1972) Food composition table for use in East Asia",70.6,5.0,0.3,21.5,107,448,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,22,730,13,51,170,2.60,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.0,0.01,NULL,0.16,0.04,1.4,NULL,NULL,0.0,NULL,NULL,NULL,5
11-001,Arrowroot,2 samples from different shops,AA,"MW3, 1960. Reviewed 2014",12.2,0.4,0.1,94.0,355,1515,94.0,0.01,0.01,NULL,0.0,0.01,0.0,0.0,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,5,18,7,8,27,2.00,0.22,0.01,7,NULL,NULL,NULL,NULL,NULL,0.0,0.01,NULL,0.01,0.01,0.01,0.1,0.01,0.0,0.01,0.01,0.01,0
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",Base of leaves and heart; boiled 35 minutes,DG,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",84.4,2.9,0.2,2.7,18,78,0.01,1.3,0.8,0.0,0.4,0.1,0.0,0.0,NULL,NULL,NULL,0.10,0.01,0.10,NULL,0.0,15,330,44,27,40,0.50,0.09,0.5,84,0.30,0.01,NULL,0,90,0.0,0.19,NULL,0.01,0.02,1.0,0.5,0.02,0.0,50,0.34,4.1,1
13-154,"Artichoke, globe, boiled, weighed as served",Calculated from boiled in unsalted water,DG,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",36.3,1.2,0.1,1.2,8,34,0.01,0.6,0.3,0.0,0.2,0.01,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.01,NULL,0.0,6,140,19,12,17,0.20,0.04,0.2,36,0.10,0.01,NULL,0,39,0.0,0.08,NULL,0.01,0.01,0.4,0.2,0.01,0.0,21,0.15,1.8,0.01
13-153,"Artichoke, globe, raw",Literature sources,DG,"Vegetables, Herbs and Spices Supplement, 1991",85.2,2.8,0.2,2.7,18,77,0.01,1.3,0.8,0.0,0.4,0.1,0.0,0.0,NULL,NULL,NULL,0.10,0.01,0.10,NULL,0.0,27,360,41,22,38,0.70,0.09,0.5,NULL,0.30,0.01,NULL,0,90,0.0,0.19,NULL,0.06,0.05,1.3,0.5,0.03,0.0,68,0.34,4.1,2
13-156,"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled 20 minutes,DG,"MW4, 1978",80.2,1.6,0.1,10.6,41,207,0.01,1.6,0.1,0.0,0.2,1.3,0.0,0.0,NULL,3.5,NULL,0.01,0.01,0.01,NULL,0.0,3,420,30,11,33,0.40,0.12,0.1,58,NULL,NULL,NULL,0,20,0.0,0.20,NULL,0.10,0.01,0.9,0.4,NULL,0.0,NULL,NULL,NULL,2
13-803,Asafoetida,Resin from root of Ferula plant. Literature sources,H,"Gopalan et al. (1980) Nutritive value of Indian foods, National Institute of Nutrition",16.0,4.0,1.1,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,690,NULL,50,22.20,NULL,NULL,NULL,NULL,NULL,NULL,0,4,0.0,NULL,NULL,0.01,0.04,0.3,NULL,NULL,0.0,NULL,NULL,NULL,0
13-639,"Asparagus, grilled","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems. Tough base of stems removed, grilled for 4-6 minutes",DG,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",90.9,3.5,0.4,2,25.1,106.3,0.01,2,0.5,0,1.1,0.4,0,0,0,1.7,1.6,0.06,0.12,0.18,0,0,3,339,27,15,78,0.6,0.14,0.61,85,0.16,11,0.01,0,232,0,1.74,NULL,0.11,0.17,1.8,0.6,0.18,0,122,0.38,0.3,10
13-157,"Asparagus, raw",Tough base of stems removed,DG,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",91.4,2.9,0.6,2.0,25,103,0.1,1.9,0.7,0.0,1.1,0.1,0.0,0.0,0.0,1.7,NULL,0.10,0.10,0.20,0.00,0.0,1,260,27,13,72,0.70,0.08,0.7,60,0.20,1,0.01,0,315,0.0,1.16,NULL,0.16,0.06,1.0,0.5,0.09,0.0,175,0.17,0.4,12
13-640,"Asparagus, roasted in rapeseed oil","Calculated from steamed. Water and fat analysed, 2017. 7 samples, fresh, imported, including tips and thicker stems, tough base of stems removed. Roasted in 0.5-1 tbsp oil for 10 minutes",DG,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",89.8,3.5,1.5,2,35,147,0.01,2,0.5,0,1.1,0.4,0,0,0,1.7,1.6,0.12,0.75,0.47,0.01,0,4,342,28,15,79,0.6,0.14,0.6,86,0.16,11,0.01,0,234,0,1.69,NULL,0.11,0.17,1.8,0.7,0.18,0,123,0.39,0.3,10
13-638,"Asparagus, steamed","11 samples, fresh, UK and imported, including tips and thicker stems. Tough base of stems removed, steamed for 3-18 minutes",DG,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",92.4,2.9,0.4,1.6,21,90,0.01,1.6,0.4,0,0.9,0.3,0,0,0,1.4,1.3,0.05,0.1,0.15,0,0,3,283,23,12,66,0.5,0.12,0.5,71,0.13,9,0.01,0,194,0,1.45,NULL,0.09,0.14,1.5,0.5,0.15,0,102,0.32,0.3,8
13-651,"Aubergine, flesh and skin, boiled in unsalted water","11 samples, UK and imported. Cut into chunks and boiled for 10-30 minutes",DG,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",95.2,0.7,0.5,1.8,14,59,0.2,1.6,0.7,0,0.6,0.3,0,0,0,2,1.8,0.13,0.01,0.25,0,0,1,136,8,9,20,0.17,0.03,0.08,9,0.15,0.01,1,0,33,0,0.02,NULL,0.01,0.01,0.1,0.2,0.03,0,7,0.04,0.4,1
13-000,"Aubergine, flesh and skin, roasted in rapeseed oil","11 samples, UK and imported, roasted in a small amount of rapeseed oil for 20-30 minutes",DG,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",83.9,2.1,3.8,5.2,62,260,0.6,4.6,2,0,1.7,0.9,0,0,0,5.7,5.1,0.35,1.96,1.22,0.01,0,2,389,24,27,57,0.49,0.09,0.2,26,0.43,0.01,3,0,94,0,0.75,NULL,0.03,0.03,0.3,0.6,0.09,0,20,0.11,1,3
13-412,"Aubergine, fried in butter",Calculation from fried in corn oil,DG,"Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",59.5,1.2,31.9,2.8,302,1262,0.2,2.6,1.4,0.0,1.1,0.1,0.0,0.0,NULL,2.3,NULL,21.10,7.70,1.00,NULL,73.0,2,170,8,8,25,0.50,0.03,0.1,16,0.20,1,1,0,125,0.0,5.50,NULL,0.00,0.01,0.01,0.2,0.07,0.0,5,0.07,NULL,1
